id,IATACode,region,country,name,lat,lon,elevation,bearing,indicator
DAAD,BUJ,AFR,DA,BOU SAADA,35.331389,4.204444,1506.0,1.0,C
DAAE,BJA,AFR,DA,SOUMMAM-ABANE RAMDANE,36.711944,5.069444,20.0,1.0,C
DAAG,ALG,AFR,DA,HOUARI BOUMEDIENE,36.694444,3.216944,82.0,1.0,C
DAAJ,DJG,AFR,DA,TISKA,24.293056,9.451944,3169.0,1.0,C
DAAP,VVZ,AFR,DA,TAKHAMALT,26.723611,8.617778,1778.0,1.0,C
DAAS,QSF,AFR,DA,8 MAI 45,36.178611,5.33,3333.0,1.0,C
DAAT,TMR,AFR,DA,AGUENAR-HADJ BEY AKHAMOK,22.811111,5.450833,4518.0,1.0,C
DAAV,GJL,AFR,DA,FERHAT ABBAS,36.794444,5.873611,36.0,0.0,C
DABB,AAE,AFR,DA,RABAH BITAT,36.822222,7.809444,16.0,2.0,C
DABC,CZL,AFR,DA,MOHAMED BOUDIAF,36.285278,6.619167,2316.0,2.0,C
DABS,TEE,AFR,DA,CHEIKH LARBI TEBESSI,35.432636,8.1256,2657.0,2.0,C
DABT,BLJ,AFR,DA,MOSTEPHA BEN BOULAID,35.759167,6.3225,2700.0,2.0,C
DAOB,TID,AFR,DA,ABDELHAFID BOUSSOUF BOU CHEKIF,35.341389,1.466944,3245.0,1.0,C
DAOF,TIN,AFR,DA,TINDOUF,27.7,-8.166667,1453.0,-2.0,C
DAOI,CFK,AFR,DA,CHLEF,36.216944,1.34,502.0,1.0,C
DAON,TLM,AFR,DA,ZENATA-MESSALI EL HADJ,35.015278,-1.450833,814.0,0.0,C
DAOO,ORN,AFR,DA,AHMED BENBELLA,35.627222,-0.611389,299.0,0.0,C
DAOR,CBH,AFR,DA,BOUDGHENE BEN ALI LOTFI,31.650569,-2.253153,2661.0,0.0,C
DAOV,MUW,AFR,DA,GHRISS,35.216944,0.148333,1686.0,0.0,C
DAOY,EBH,AFR,DA,EL BAYADH,33.720833,1.091389,4482.0,1.0,C
DATG,INF,AFR,DA,IN GUEZZAM,19.56075,5.751361,1325.0,0.0,C
DATM,BMW,AFR,DA,BORDJ MOKHTAR,21.375,0.923889,1302.0,0.0,C
DAUA,AZR,AFR,DA,TOUAT CHEIKH SIDI MOHAMED BELK,27.839167,-0.185278,919.0,-1.0,C
DAUB,BSK,AFR,DA,MOHAMED KHIDER,34.801667,5.741667,289.0,1.0,C
DAUE,ELG,AFR,DA,EL GOLEA,30.568889,2.864722,1306.0,1.0,C
DAUG,GHA,AFR,DA,NOUMERAT-MOUFDI ZAKARIA,32.381667,3.799444,1512.0,1.0,C
DAUH,HME,AFR,DA,KRIM BELKACEM,31.673889,6.140556,459.0,1.0,C
DAUI,INZ,AFR,DA,IN SALAH,27.253611,2.510833,896.0,0.0,C
DAUK,TGR,AFR,DA,SIDI MAHDI,33.06,6.087222,279.0,2.0,C
DAUO,ELU,AFR,DA,GUEMAR,33.513056,6.7825,203.0,2.0,C
DAUT,TMX,AFR,DA,TIMIMOUN,29.241111,0.283611,1027.0,0.0,C
DAUU,OGX,AFR,DA,AIN BEIDA,31.931406,5.413489,499.0,0.0,C
DAUZ,IAM,AFR,DA,IN AMENAS,28.051389,9.642778,1844.0,2.0,C
DBBB,COO,AFR,DB,CADJEHOUN INTL,6.356389,2.383333,20.0,-3.0,C
DBBP,PKO,AFR,DB,PARAKOU,9.357222,2.609167,1266.0,-2.0,C
DFEF,FNG,AFR,DF,FADA N'GOURMA,12.043044,0.365431,1024.0,-2.0,C
DFFD,OUA,AFR,DF,OUAGADOUGOU,12.353667,-1.512,1037.0,-3.0,C
DFOD,DGU,AFR,DF,DEDOUGOU,12.457686,-3.492936,984.0,-3.0,C
DFOG,XGA,AFR,DF,AMILCAR CABRAL DE GAOUA,10.380658,-3.167764,1079.0,-3.0,C
DFOO,BOY,AFR,DF,BOBO-DIOULASSO,11.167417,-4.321056,1511.0,-4.0,C
DGAA,ACC,AFR,DG,KOTOKA INTL,5.604414,-0.167544,205.0,-4.0,C
DGLE,TML,AFR,DG,TAMALE,9.554119,-0.866281,552.0,-3.0,C
DGLN,   ,AFR,DG,NAVRONGO,10.943081,-1.087356,678.0,-2.0,C
DGLW,WZA,AFR,DG,WA,10.082583,-2.507861,1009.0,-3.0,C
DGSI,KMS,AFR,DG,KUMASI,6.714583,-1.590831,942.0,-4.0,C
DGSN,NYI,AFR,DG,SUNYANI,7.361864,-2.328719,1014.0,-4.0,C
DGTK,TKD,AFR,DG,TAKORADI,4.895986,-1.774708,22.0,-5.0,M
DIAP,ABJ,AFR,DI,FELIX HOUPHOUET BOIGNY INTL,5.254444,-3.928611,21.0,-4.0,C
DIBI,   ,AFR,DI,BOUNDIALI,9.533333,-6.466667,1286.0,-5.0,C
DIBK,BYK,AFR,DI,BOUAKE,7.752389,-5.067694,1231.0,-5.0,C
DIBN,   ,AFR,DI,TEHINI,9.266667,-3.033333,1148.0,-4.0,C
DIBU,   ,AFR,DI,SOKO,8.011389,-2.764722,1207.0,-4.0,C
DIDB,   ,AFR,DI,DABOU,5.35,-4.4,141.0,-5.0,C
DIDK,   ,AFR,DI,VILLE,6.6,-4.566667,344.0,-5.0,C
DIGL,   ,AFR,DI,GUIGLO,6.525,-7.478611,722.0,-6.0,C
DIGN,   ,AFR,DI,NERO-MER,4.633333,-6.916667,20.0,-6.0,C
DIKO,HGO,AFR,DI,KORHOGO,9.387583,-5.554139,1213.0,-4.0,C
DIMN,MJC,AFR,DI,MAN,7.270969,-7.587528,1090.0,-6.0,C
